OrderMonth,Current_Month_Customer,Retained_customer
2013-05,1719,84
2013-03,1631,81
2013-09,1832,81
2013-11,2036,81
2013-10,2073,80
2013-07,1796,80
2013-08,1900,80
2013-04,1564,76
2013-06,1948,74
2013-02,1373,70
2013-12,2133,62
2013-01,627,18
2012-12,354,9
2012-11,324,1
2014-01,834,0
2010-12,14,0
2011-01,144,0
2011-02,144,0
2011-03,150,0
2011-04,157,0
2011-05,174,0
2011-06,230,0
2011-07,188,0
2011-08,193,0
2011-09,185,0
2011-10,221,0
2011-11,208,0
2011-12,222,0
2012-01,252,0
2012-02,260,0
2012-03,212,0
2012-04,219,0
2012-05,207,0
2012-06,318,0
2012-07,246,0
2012-08,294,0
2012-09,269,0
2012-10,313,0
