CustomerKey,OrderDate,SalesAmount,TotalProductCost,SalesOrderLineNumber,OrderQuantity
CustomerKey,OrderDate,SalesAmount,TotalProductCost,SalesOrderLineNumber,OrderQuantity
21768,29-12-2010,3578.27,2171.2942,1,1
28389,29-12-2010,3399.99,1912.1544,1,1
25863,29-12-2010,3399.99,1912.1544,1,1
14501,29-12-2010,699.0982,413.1463,1,1
11003,29-12-2010,3399.99,1912.1544,1,1
27645,30-12-2010,3578.27,2171.2942,1,1
16624,30-12-2010,3578.27,2171.2942,1,1
11005,30-12-2010,3374.99,1898.0944,1,1
11011,30-12-2010,3399.99,1912.1544,1,1
27621,31-12-2010,3578.27,2171.2942,1,1
27616,31-12-2010,3578.27,2171.2942,1,1
20042,31-12-2010,699.0982,413.1463,1,1
16351,31-12-2010,3578.27,2171.2942,1,1
16517,31-12-2010,3578.27,2171.2942,1,1
27606,01-01-2011,3578.27,2171.2942,1,1
13513,01-01-2011,3578.27,2171.2942,1,1
27601,02-01-2011,3578.27,2171.2942,1,1
13591,02-01-2011,3578.27,2171.2942,1,1
16483,02-01-2011,3578.27,2171.2942,1,1
16529,02-01-2011,3578.27,2171.2942,1,1
25249,02-01-2011,699.0982,413.1463,1,1
27668,03-01-2011,3578.27,2171.2942,1,1
27612,03-01-2011,3578.27,2171.2942,1,1
13264,03-01-2011,3578.27,2171.2942,1,1
13590,03-01-2011,3578.27,2171.2942,1,1
13581,04-01-2011,3578.27,2171.2942,1,1
14520,04-01-2011,699.0982,413.1463,1,1
16520,04-01-2011,3578.27,2171.2942,1,1
13258,05-01-2011,3578.27,2171.2942,1,1
14560,05-01-2011,699.0982,413.1463,1,1
16607,05-01-2011,3578.27,2171.2942,1,1
27666,06-01-2011,3578.27,2171.2942,1,1
11238,06-01-2011,3399.99,1912.1544,1,1
25861,06-01-2011,3399.99,1912.1544,1,1
16629,06-01-2011,3578.27,2171.2942,1,1
11025,06-01-2011,3374.99,1898.0944,1,1
27577,06-01-2011,3578.27,2171.2942,1,1
27604,07-01-2011,3578.27,2171.2942,1,1
16522,07-01-2011,3578.27,2171.2942,1,1
11002,07-01-2011,3399.99,1912.1544,1,1
13261,08-01-2011,3578.27,2171.2942,1,1
11606,08-01-2011,3578.27,2171.2942,1,1
13563,08-01-2011,3578.27,2171.2942,1,1
16527,08-01-2011,3578.27,2171.2942,1,1
27671,09-01-2011,3578.27,2171.2942,1,1
13576,09-01-2011,3578.27,2171.2942,1,1
11007,09-01-2011,3399.99,1912.1544,1,1
16631,09-01-2011,3578.27,2171.2942,1,1
16514,10-01-2011,3578.27,2171.2942,1,1
16616,10-01-2011,3578.27,2171.2942,1,1
27623,11-01-2011,3578.27,2171.2942,1,1
27625,11-01-2011,3578.27,2171.2942,1,1
27636,11-01-2011,3578.27,2171.2942,1,1
11591,11-01-2011,3578.27,2171.2942,1,1
11592,11-01-2011,3578.27,2171.2942,1,1
13265,11-01-2011,3578.27,2171.2942,1,1
16482,11-01-2011,3578.27,2171.2942,1,1
27617,12-01-2011,3578.27,2171.2942,1,1
27670,12-01-2011,3578.27,2171.2942,1,1
19941,12-01-2011,699.0982,413.1463,1,1
11017,12-01-2011,3374.99,1898.0944,1,1
27646,13-01-2011,3578.27,2171.2942,1,1
13257,13-01-2011,3578.27,2171.2942,1,1
16352,13-01-2011,3578.27,2171.2942,1,1
16493,13-01-2011,3578.27,2171.2942,1,1
27578,14-01-2011,3578.27,2171.2942,1,1
16525,14-01-2011,3578.27,2171.2942,1,1
16612,14-01-2011,3578.27,2171.2942,1,1
11010,14-01-2011,3399.99,1912.1544,1,1
16518,15-01-2011,3578.27,2171.2942,1,1
11001,15-01-2011,3374.99,1898.0944,1,1
27649,16-01-2011,3578.27,2171.2942,1,1
21659,16-01-2011,3578.27,2171.2942,1,1
27614,16-01-2011,3578.27,2171.2942,1,1
14559,16-01-2011,699.0982,413.1463,1,1
16524,16-01-2011,3578.27,2171.2942,1,1
16526,16-01-2011,3578.27,2171.2942,1,1
16348,16-01-2011,3578.27,2171.2942,1,1
11027,16-01-2011,3399.99,1912.1544,1,1
13260,17-01-2011,3578.27,2171.2942,1,1
16515,17-01-2011,3578.27,2171.2942,1,1
11018,17-01-2011,3399.99,1912.1544,1,1
25252,17-01-2011,699.0982,413.1463,1,1
11599,18-01-2011,3578.27,2171.2942,1,1
16495,18-01-2011,3578.27,2171.2942,1,1
16516,18-01-2011,3578.27,2171.2942,1,1
16620,18-01-2011,3578.27,2171.2942,1,1
27667,19-01-2011,3578.27,2171.2942,1,1
11601,19-01-2011,3578.27,2171.2942,1,1
11607,19-01-2011,3578.27,2171.2942,1,1
29385,19-01-2011,3399.99,1912.1544,1,1
11239,19-01-2011,3374.99,1898.0944,1,1
25865,19-01-2011,3374.99,1898.0944,1,1
25857,19-01-2011,3399.99,1912.1544,1,1
16484,19-01-2011,3578.27,2171.2942,1,1
16623,19-01-2011,3578.27,2171.2942,1,1
11000,19-01-2011,3399.99,1912.1544,1,1
11029,19-01-2011,3399.99,1912.1544,1,1
27615,20-01-2011,3578.27,2171.2942,1,1
17956,20-01-2011,699.0982,413.1463,1,1
16345,20-01-2011,3578.27,2171.2942,1,1
16521,20-01-2011,3578.27,2171.2942,1,1
16636,20-01-2011,3578.27,2171.2942,1,1
21710,21-01-2011,3578.27,2171.2942,1,1
13583,21-01-2011,3578.27,2171.2942,1,1
11593,21-01-2011,3578.27,2171.2942,1,1
21741,22-01-2011,3578.27,2171.2942,1,1
13585,22-01-2011,3578.27,2171.2942,1,1
14510,22-01-2011,699.0982,413.1463,1,1
16523,22-01-2011,3578.27,2171.2942,1,1
11611,23-01-2011,3578.27,2171.2942,1,1
13259,23-01-2011,3578.27,2171.2942,1,1
16350,23-01-2011,3578.27,2171.2942,1,1
11004,23-01-2011,3399.99,1912.1544,1,1
11026,23-01-2011,3399.99,1912.1544,1,1
27662,24-01-2011,3578.27,2171.2942,1,1
28390,24-01-2011,3374.99,1898.0944,1,1
25866,24-01-2011,3374.99,1898.0944,1,1
16494,24-01-2011,3578.27,2171.2942,1,1
16496,24-01-2011,3578.27,2171.2942,1,1
16519,24-01-2011,3578.27,2171.2942,1,1
16528,24-01-2011,3578.27,2171.2942,1,1
11006,24-01-2011,3399.99,1912.1544,1,1
27651,25-01-2011,3578.27,2171.2942,1,1
27663,25-01-2011,3578.27,2171.2942,1,1
27669,25-01-2011,3578.27,2171.2942,1,1
19942,25-01-2011,699.0982,413.1463,1,1
14558,25-01-2011,699.0982,413.1463,1,1
16349,25-01-2011,3578.27,2171.2942,1,1
11008,25-01-2011,3374.99,1898.0944,1,1
25250,25-01-2011,699.0982,413.1463,1,1
27605,26-01-2011,3578.27,2171.2942,1,1
27611,26-01-2011,3578.27,2171.2942,1,1
16347,26-01-2011,3578.27,2171.2942,1,1
11028,26-01-2011,3374.99,1898.0944,1,1
13584,26-01-2011,3578.27,2171.2942,1,1
21727,27-01-2011,3578.27,2171.2942,1,1
28393,27-01-2011,3374.99,1898.0944,1,1
19802,27-01-2011,3374.99,1898.0944,1,1
26620,27-01-2011,699.0982,413.1463,1,1
11009,27-01-2011,3374.99,1898.0944,1,1
